team,logoId,conference,wins,losses,ties,win_pct,pass_att,pass_comp,pass_yds,pass_tds,pass_ints,pass_ints_raw,pass_ints_adjustment,pass_sacks,qb_rating,rush_att,rush_yds,rush_tds,rush_fum,rush_broken_tackles,rush_yac,rush_20plus,rec_catches,rec_yds,rec_tds,rec_drops,rec_yac,def_sacks,def_ints,def_forced_fum,def_fum_rec,def_tds,def_tackles,def_deflections,punts,punt_avg,punt_net_avg,punts_in_20,punts_touchbacks,fg_att,fg_made,fg_50plus_att,fg_50plus_made,xp_att,xp_made,kickoff_touchbacks,total_off_plays,total_off_yds,total_off_tds,total_turnovers,total_takeaways,pass_yds_per_att,rush_yds_per_att,pass_comp_pct,pass_td_pct,pass_int_pct,sack_rate,rush_td_pct,rush_broken_tackle_rate,rush_yac_pct,rush_explosive_rate,drop_rate,rec_yac_pct,rec_yds_per_catch,td_per_play,yds_per_play,turnover_diff,pass_yds_per_game,rush_yds_per_game,rec_yds_per_game,off_yds_per_game,pass_att_per_game,rush_att_per_game,punts_per_game,def_sacks_per_game,def_ints_per_game,pass_ints_per_game,sacks_allowed_per_game,explosive_plays,explosive_plays_per_game,pass_rush_ratio,fg_pct,fg_50plus_pct,xp_pct,punts_in_20_pct
Colts,9,AFC,1.0,2.0,0.0,0.3333333333333333,17.0,15.0,284.0,2.0,1.0,1.0,0.0,0.0,0.0,27.0,91.0,2.0,0.0,6.0,32.0,0.0,15.0,284.0,2.0,1.0,135.0,0.0,2.0,2.0,1.0,2.0,16.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,7.0,2.0,44.0,375.0,4.0,1.0,3.0,16.705882352941178,3.3703703703703702,88.23529411764706,11.76470588235294,5.88235294117647,0.0,7.4074074074074066,0.2222222222222222,35.16483516483517,0.0,0,47.53521126760563,18.933333333333334,0.09090909090909091,8.522727272727273,2.0,94.66666666666667,30.333333333333332,94.66666666666667,125.0,5.666666666666667,9.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6296296296296297,100.0,0,100.0,0.0
Commanders,25,NFC,0.0,3.0,0.0,0.0,19.0,15.0,105.0,2.0,0.0,0.0,0.0,2.0,0.0,26.0,253.0,4.0,1.0,3.0,39.0,3.0,15.0,105.0,2.0,2.0,48.0,3.0,2.0,1.0,1.0,0.0,25.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,45.0,358.0,6.0,1.0,3.0,5.526315789473684,9.73076923076923,78.94736842105263,10.526315789473683,0.0,9.523809523809524,15.384615384615385,0.11538461538461539,15.41501976284585,11.538461538461538,0,45.714285714285715,7.0,0.13333333333333333,7.955555555555556,2.0,35.0,84.33333333333333,35.0,119.33333333333333,6.333333333333333,8.666666666666666,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,3.0,1.0,0.7307692307692307,0,0,83.33333333333334,0.0
Dolphins,11,AFC,3.0,0.0,0.0,1.0,20.0,20.0,216.0,2.0,0.0,0.0,0.0,2.0,145.0,19.0,207.0,4.0,0.0,2.0,16.0,2.0,18.0,216.0,2.0,1.0,110.0,2.0,3.0,0.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,4.0,39.0,423.0,6.0,0.0,3.0,10.8,10.894736842105264,100.0,10.0,0.0,9.090909090909092,21.052631578947366,0.10526315789473684,7.729468599033816,10.526315789473683,0.0,50.92592592592593,12.0,0.15384615384615385,10.846153846153847,3.0,72.0,69.0,72.0,141.0,6.666666666666667,6.333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.6666666666666666,2.0,0.6666666666666666,1.0526315789473684,100.0,0,100.0,0.0
Eagles,12,NFC,1.0,2.0,0.0,0.3333333333333333,19.0,17.0,258.0,3.0,0.0,0.0,0.0,1.0,0.0,29.0,216.0,1.0,2.0,8.0,55.0,2.0,17.0,258.0,3.0,1.0,168.0,1.0,2.0,0.0,0.0,0.0,27.0,9.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,48.0,474.0,4.0,2.0,2.0,13.578947368421053,7.448275862068965,89.47368421052632,15.789473684210526,0.0,5.0,3.4482758620689653,0.27586206896551724,25.462962962962965,6.896551724137931,10.0,65.11627906976744,15.176470588235293,0.08333333333333333,9.875,0.0,86.0,72.0,86.0,158.0,6.333333333333333,9.666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,2.0,0.6666666666666666,0.6551724137931034,100.0,0,100.0,0.0
Falcons,13,NFC,2.0,1.0,0.0,0.6666666666666666,39.0,25.0,284.0,2.0,1.0,1.0,0.0,3.0,90.1,19.0,100.0,1.0,0.0,5.0,21.0,0.0,24.0,284.0,2.0,2.0,183.0,1.0,4.0,0.0,0.0,0.0,21.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,58.0,384.0,3.0,1.0,4.0,7.282051282051282,5.2631578947368425,64.1025641025641,5.128205128205128,2.564102564102564,7.142857142857142,5.263157894736842,0.2631578947368421,21.0,0.0,4.545454545454546,64.43661971830986,11.833333333333334,0.05172413793103448,6.620689655172414,3.0,94.66666666666667,33.333333333333336,94.66666666666667,128.0,13.0,6.333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,0.0,0.0,2.0526315789473686,100.0,0,50.0,50.0
Giants,15,NFC,1.0,2.0,0.0,0.3333333333333333,24.0,16.0,294.0,2.0,2.0,2.0,0.0,4.0,101.7,11.0,37.0,0.0,0.0,3.0,16.0,1.0,16.0,294.0,2.0,0.0,139.0,0.0,2.0,0.0,0.0,1.0,29.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,35.0,331.0,2.0,2.0,2.0,12.25,3.3636363636363638,66.66666666666666,8.333333333333332,8.333333333333332,14.285714285714285,0.0,0.2727272727272727,43.24324324324324,9.090909090909092,0,47.27891156462585,18.375,0.05714285714285714,9.457142857142857,0.0,98.0,12.333333333333334,98.0,110.33333333333333,8.0,3.6666666666666665,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,2.1818181818181817,100.0,0,100.0,0.0
Huskies,162,NFC,2.0,1.0,0.0,0.6666666666666666,17.0,13.0,216.0,2.0,0.0,0.0,0.0,1.0,0.0,30.0,108.0,1.0,1.0,8.0,28.0,1.0,13.0,216.0,2.0,0.0,97.0,2.0,2.0,1.0,1.0,0.0,21.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,3.0,47.0,324.0,3.0,1.0,3.0,12.705882352941176,3.6,76.47058823529412,11.76470588235294,0.0,5.555555555555555,3.3333333333333335,0.26666666666666666,25.925925925925924,3.3333333333333335,0.0,44.907407407407405,16.615384615384617,0.06382978723404255,6.8936170212765955,2.0,72.0,36.0,72.0,108.0,5.666666666666667,10.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333,0.5666666666666667,100.0,0,100.0,0.0
Jaguars,16,AFC,3.0,0.0,0.0,1.0,17.0,14.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,166.0,3.0,0.0,1.0,39.0,2.0,14.0,140.0,0.0,0.0,62.0,0.0,2.0,0.0,0.0,0.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,44.0,306.0,3.0,0.0,2.0,8.235294117647058,6.148148148148148,82.35294117647058,0.0,0.0,0.0,11.11111111111111,0.037037037037037035,23.49397590361446,7.4074074074074066,0,44.285714285714285,10.0,0.06818181818181818,6.954545454545454,2.0,46.666666666666664,55.333333333333336,46.666666666666664,102.0,5.666666666666667,9.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,2.0,0.6666666666666666,0.6296296296296297,100.0,100.0,100.0,0.0
Jets,17,AFC,1.0,2.0,0.0,0.3333333333333333,18.0,17.0,195.0,2.0,2.0,2.0,0.0,2.0,0.0,19.0,213.0,3.0,0.0,2.0,23.0,2.0,16.0,195.0,2.0,0.0,158.0,1.0,2.0,0.0,0.0,1.0,26.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,37.0,408.0,5.0,2.0,2.0,10.833333333333334,11.210526315789474,94.44444444444444,11.11111111111111,11.11111111111111,10.0,15.789473684210526,0.10526315789473684,10.7981220657277,10.526315789473683,0.0,81.02564102564102,12.1875,0.13513513513513514,11.027027027027026,0.0,65.0,71.0,65.0,136.0,6.0,6.333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.6666666666666666,0.9473684210526315,0,0,100.0,100.0
Lions,18,NFC,3.0,0.0,0.0,1.0,27.0,19.0,257.0,2.0,4.0,4.0,0.0,1.0,85.4,18.0,176.0,2.0,0.0,3.0,20.0,2.0,19.0,257.0,2.0,2.0,92.0,3.0,1.0,1.0,0.0,1.0,31.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,45.0,433.0,4.0,4.0,1.0,9.518518518518519,9.777777777777779,70.37037037037037,7.4074074074074066,14.814814814814813,3.571428571428571,11.11111111111111,0.16666666666666666,11.363636363636363,11.11111111111111,8.333333333333332,35.797665369649806,13.526315789473685,0.08888888888888889,9.622222222222222,-3.0,85.66666666666667,58.666666666666664,85.66666666666667,144.33333333333334,9.0,6.0,0.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,1.5,0,0,100.0,0.0
