team,logoId,conference,wins,losses,ties,win_pct,pass_att,pass_comp,pass_yds,pass_tds,pass_ints,pass_ints_raw,pass_ints_adjustment,pass_sacks,qb_rating,rush_att,rush_yds,rush_tds,rush_fum,rush_broken_tackles,rush_yac,rush_20plus,rec_catches,rec_yds,rec_tds,rec_drops,rec_yac,def_sacks,def_ints,def_forced_fum,def_fum_rec,def_tds,def_tackles,def_deflections,punts,punt_avg,punt_net_avg,punts_in_20,punts_touchbacks,fg_att,fg_made,fg_50plus_att,fg_50plus_made,xp_att,xp_made,kickoff_touchbacks,total_off_plays,total_off_yds,total_off_tds,total_turnovers,total_takeaways,pass_yds_per_att,rush_yds_per_att,pass_comp_pct,pass_td_pct,pass_int_pct,sack_rate,rush_td_pct,rush_broken_tackle_rate,rush_yac_pct,rush_explosive_rate,drop_rate,rec_yac_pct,rec_yds_per_catch,td_per_play,yds_per_play,turnover_diff,pass_yds_per_game,rush_yds_per_game,rec_yds_per_game,off_yds_per_game,pass_att_per_game,rush_att_per_game,punts_per_game,def_sacks_per_game,def_ints_per_game,pass_ints_per_game,sacks_allowed_per_game,explosive_plays,explosive_plays_per_game,pass_rush_ratio,fg_pct,fg_50plus_pct,xp_pct,punts_in_20_pct
Packers,19,NFC,2.0,1.0,0.0,0.6666666666666666,27.0,18.0,237.0,3.0,1.0,1.0,0.0,2.0,115.8,21.0,111.0,1.0,0.0,2.0,29.0,1.0,18.0,237.0,3.0,3.0,93.0,3.0,2.0,1.0,2.0,1.0,29.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,48.0,348.0,4.0,1.0,4.0,8.777777777777779,5.285714285714286,66.66666666666666,11.11111111111111,3.7037037037037033,6.896551724137931,4.761904761904762,0.09523809523809523,26.126126126126124,4.761904761904762,0,39.24050632911392,13.166666666666666,0.08333333333333333,7.25,3.0,79.0,37.0,79.0,116.0,9.0,7.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.2857142857142858,0,0,100.0,33.33333333333333
Panthers,20,NFC,2.0,1.0,0.0,0.6666666666666666,28.0,21.0,366.0,2.0,2.0,2.0,0.0,3.0,0.0,14.0,39.0,1.0,1.0,3.0,7.0,0.0,20.0,366.0,2.0,1.0,150.0,2.0,0.0,1.0,0.0,0.0,27.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,42.0,405.0,3.0,3.0,0.0,13.071428571428571,2.7857142857142856,75.0,7.142857142857142,7.142857142857142,9.67741935483871,7.142857142857142,0.21428571428571427,17.94871794871795,0.0,5.88235294117647,40.98360655737705,18.3,0.07142857142857142,9.642857142857142,-3.0,122.0,13.0,122.0,135.0,9.333333333333334,4.666666666666667,1.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.0,2.0,0,0,100.0,0.0
Patriots,21,AFC,2.0,1.0,0.0,0.6666666666666666,38.0,26.0,445.0,4.0,2.0,2.0,0.0,1.0,121.0,18.0,77.0,1.0,0.0,3.0,22.0,0.0,26.0,445.0,4.0,1.0,184.0,2.0,2.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,56.0,522.0,5.0,2.0,2.0,11.710526315789474,4.277777777777778,68.42105263157895,10.526315789473683,5.263157894736842,2.564102564102564,5.555555555555555,0.16666666666666666,28.57142857142857,0.0,6.666666666666667,41.34831460674157,17.115384615384617,0.08928571428571429,9.321428571428571,0.0,148.33333333333334,25.666666666666668,148.33333333333334,174.0,12.666666666666666,6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,2.111111111111111,0.0,0,50.0,0.0
Raiders,22,AFC,0.0,3.0,0.0,0.0,33.0,21.0,346.0,2.0,3.0,3.0,0.0,1.0,81.1,13.0,84.0,1.0,2.0,8.0,14.0,1.0,21.0,346.0,2.0,2.0,216.0,3.0,0.0,1.0,0.0,0.0,28.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,46.0,430.0,3.0,5.0,0.0,10.484848484848484,6.461538461538462,63.63636363636363,6.0606060606060606,9.090909090909092,2.941176470588235,7.6923076923076925,0.6153846153846154,16.666666666666664,7.6923076923076925,0.0,62.42774566473989,16.476190476190474,0.06521739130434782,9.347826086956522,-5.0,115.33333333333333,28.0,115.33333333333333,143.33333333333334,11.0,4.333333333333333,1.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,2.5384615384615383,0,0,100.0,75.0
Rams,23,NFC,1.0,2.0,0.0,0.3333333333333333,40.0,29.0,292.0,3.0,0.0,0.0,0.0,2.0,117.9,22.0,53.0,1.0,0.0,7.0,4.0,0.0,29.0,292.0,3.0,1.0,82.0,3.0,0.0,1.0,0.0,0.0,32.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,4.0,5.0,62.0,345.0,4.0,0.0,0.0,7.3,2.409090909090909,72.5,7.5,0.0,4.761904761904762,4.545454545454546,0.3181818181818182,7.547169811320755,0.0,0.0,28.08219178082192,10.068965517241379,0.06451612903225806,5.564516129032258,0.0,97.33333333333333,17.666666666666668,97.33333333333333,115.0,13.333333333333334,7.333333333333333,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.8181818181818181,0.0,0.0,100.0,0.0
Ravens,24,AFC,2.0,1.0,0.0,0.6666666666666666,24.0,19.0,273.0,1.0,0.0,0.0,0.0,1.0,127.9,23.0,46.0,0.0,0.0,9.0,26.0,0.0,19.0,273.0,1.0,0.0,91.0,1.0,0.0,0.0,0.0,0.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,47.0,319.0,1.0,0.0,0.0,11.375,2.0,79.16666666666666,4.166666666666666,0.0,4.0,0.0,0.391304347826087,56.52173913043478,0.0,0.0,33.33333333333333,14.368421052631579,0.02127659574468085,6.787234042553192,0.0,91.0,15.333333333333334,91.0,106.33333333333333,8.0,7.666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,1.0434782608695652,100.0,0,0,0.0
Saints,26,NFC,2.0,1.0,0.0,0.6666666666666666,32.0,26.0,275.0,2.0,0.0,0.0,0.0,1.0,123.3,20.0,101.0,2.0,0.0,6.0,23.0,2.0,26.0,275.0,2.0,2.0,101.0,1.0,0.0,0.0,1.0,0.0,29.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,52.0,376.0,4.0,0.0,1.0,8.59375,5.05,81.25,6.25,0.0,3.0303030303030303,10.0,0.3,22.772277227722775,10.0,8.695652173913043,36.72727272727273,10.576923076923077,0.07692307692307693,7.230769230769231,1.0,91.66666666666667,33.666666666666664,91.66666666666667,125.33333333333333,10.666666666666666,6.666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,2.0,0.6666666666666666,1.6,100.0,0,100.0,0.0
Seahawks,27,NFC,2.0,1.0,0.0,0.6666666666666666,22.0,12.0,183.0,1.0,2.0,2.0,0.0,2.0,59.4,19.0,78.0,0.0,1.0,4.0,46.0,0.0,12.0,183.0,1.0,0.0,104.0,1.0,0.0,1.0,1.0,0.0,23.0,1.0,0,0.0,0.0,0,0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,41.0,261.0,1.0,3.0,1.0,8.318181818181818,4.105263157894737,54.54545454545454,4.545454545454546,9.090909090909092,8.333333333333332,0.0,0.21052631578947367,58.97435897435898,0.0,0,56.830601092896174,15.25,0.024390243902439025,6.365853658536586,-2.0,61.0,26.0,61.0,87.0,7.333333333333333,6.333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.1578947368421053,33.33333333333333,33.33333333333333,100.0,0
Steelers,28,AFC,2.0,1.0,0.0,0.6666666666666666,42.0,27.0,274.0,2.0,2.0,2.0,0.0,1.0,78.8,19.0,72.0,1.0,0.0,3.0,0.0,0.0,27.0,274.0,2.0,0.0,104.0,7.0,1.0,0.0,0.0,0.0,33.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,61.0,346.0,3.0,2.0,1.0,6.523809523809524,3.789473684210526,64.28571428571429,4.761904761904762,4.761904761904762,2.3255813953488373,5.263157894736842,0.15789473684210525,0.0,0.0,0.0,37.95620437956204,10.148148148148149,0.04918032786885246,5.672131147540983,-1.0,91.33333333333333,24.0,91.33333333333333,115.33333333333333,14.0,6.333333333333333,1.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,2.210526315789474,0.0,0.0,100.0,0.0
Texans,31,AFC,0.0,3.0,0.0,0.0,32.0,19.0,311.0,3.0,2.0,2.0,0.0,0.0,97.2,21.0,37.0,0.0,2.0,7.0,12.0,0.0,19.0,311.0,3.0,4.0,137.0,0.0,1.0,0.0,0.0,0.0,25.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,53.0,348.0,3.0,4.0,1.0,9.71875,1.7619047619047619,59.375,9.375,6.25,0.0,0.0,0.3333333333333333,32.432432432432435,0.0,12.5,44.05144694533762,16.36842105263158,0.05660377358490566,6.566037735849057,-3.0,103.66666666666667,12.333333333333334,103.66666666666667,116.0,10.666666666666666,7.0,1.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.5238095238095237,0,0,100.0,0.0
Titans,29,AFC,1.0,2.0,0.0,0.3333333333333333,36.0,24.0,313.0,3.0,2.0,2.0,0.0,0.0,98.4,29.0,159.0,1.0,0.0,8.0,41.0,1.0,24.0,313.0,3.0,2.0,135.0,4.0,2.0,0.0,0.0,0.0,20.0,5.0,0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,65.0,472.0,4.0,2.0,2.0,8.694444444444445,5.482758620689655,66.66666666666666,8.333333333333332,5.555555555555555,0.0,3.4482758620689653,0.27586206896551724,25.78616352201258,3.4482758620689653,16.666666666666664,43.13099041533546,13.041666666666666,0.06153846153846154,7.2615384615384615,0.0,104.33333333333333,53.0,104.33333333333333,157.33333333333334,12.0,9.666666666666666,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,0.3333333333333333,1.2413793103448276,100.0,0,100.0,0
Vikings,30,NFC,0.0,3.0,0.0,0.0,37.0,29.0,428.0,2.0,4.0,4.0,0.0,2.0,93.2,18.0,153.0,3.0,0.0,9.0,20.0,4.0,29.0,428.0,2.0,1.0,228.0,2.0,0.0,0.0,0.0,0.0,29.0,2.0,0,0.0,0.0,0,0,2.0,1.0,1.0,0.0,4.0,4.0,0.0,55.0,581.0,5.0,4.0,0.0,11.567567567567568,8.5,78.37837837837837,5.405405405405405,10.81081081081081,5.128205128205128,16.666666666666664,0.5,13.071895424836603,22.22222222222222,0.0,53.271028037383175,14.758620689655173,0.09090909090909091,10.563636363636364,-4.0,142.66666666666666,51.0,142.66666666666666,193.66666666666666,12.333333333333334,6.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666,4.0,1.3333333333333333,2.0555555555555554,50.0,0.0,100.0,0
